क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
2,खनन एवं उत्‍खनन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mining & quarrying,2
3,विनिर्माण,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",29251,11016,18235,0,4949,13286,0,32270,11748,20521,0,5684,14837,0,35948,13056,22892,0,6422,16470,0,41671,15998,25672,0,7062,18610,0,44735,16831,27904,0,7382,20522,0,50373.28,18897.775,31475.505,0,8275.096,23200.415,-0.006,59621.0532,23073.3662,36547.687,0,9594.4391,26953.2479,0,63028.6498,21877.5415,41151.1083,0,11079.6871,30071.4212,0,75167.9557,31426.5604,43741.3952,0,11996.2246,31745.1707,0,78046.9491,30775.0838,47271.8653,0,13430.6759,33841.1893,0,"Electricity, gas, water supply and other utility services",4
5,निर्माण,68897,25223,43674,0,454,43219,0,76152,27772,48380,0,677,47703,0,84753,30822,53930,0,952,52979,0,92665,32523,60142,0,1246,58896,0,107500,41153,66346,0,1646,64701,0,111261.6622,36464.04559,74797.61658,0,2192.973463,72604.64312,0,126580.77147,40852.38813,85728.38334,0,2949.7234,82778.65994,0,113572.41078,38939.33184,74633.07894,0,3710.42605,70922.65289,0,113077.23471,41358.28746,71718.9473,0,4272.50533,67446.44192,0,108785.50091,44888.11431,63897.3866,0,4909.01454,58988.37206,0,Construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Railways,7.1
7.2,सड़क परिवहन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Road transport,7.2
7.3,जल परिवहन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Water transport,7.3
7.4,वायु परिवहन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Air transport,7.4
7.5,परिवहन से संबंधित सेवाएं,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Services incidental to transport,7.5
7.6,भंडारण,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Storage,7.6
7.7,संचार और प्रसारण से संबंधित सेवाएं,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Communication & services related to broadcasting,7.7
8,वित्‍तीय सेवाएं,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial services,8
9,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Real estate, ownership of dwelling and professional services",9
10,लोक प्रशासन और रक्षा,666419,175264,491155,0,85563,405592,0,720838,174606,546231,0,92087,454144,0,797137,195224,601912,0,98725,503188,0,907104,230286,676818,0,105064,571755,0,988917,257339,731578,0,108262,623316,0,1099612.193,272173.795,827438.398,0,113842.04,713596.358,0,1227081.7174451,281999.48979706,945082.22764804,0,122400.8943099,822681.33333814,0,1351468.837253378,305981.3121359799,1045487.5251173981,0,132432.7415275767,913054.7835898214,0,1482617.2217944097,334876.5828694878,1147740.6389249219,0,140794.47372211245,1006946.1652028094,0,1608153.867971045,369770.81608607713,1238383.0518849678,0,152126.39334108395,1086256.6585438838,0,Public administration and defence,10
11,अन्‍य सेवाएं,301192,59362,241830,0,7657,234173,0,340660,70310,270350,0,8582,261768,0,370249,72042,298207,0,9750,288457,0,415491,80348,335143,0,10736,324407,0,476395,96683,379712,0,11489,368223,0,532372.63,105734.891,426637.739,0,12609.096,414028.649,-0.006,594971.735865256,114404.37507506,480567.360790197,0,14418.786497029,466148.574293168,0,682236.91963046,128175.349952702,554061.569677758,0,16302.858068239,537758.711609519,0,700704.344484891,104370.502854233,596333.841630658,0,17654.901864328,578678.93976633,0,756170.174943266,111701.027422118,644469.147521148,0,19413.016664831,625056.130856317,0,Other services,11
,कुल,1065759,270865,794894,0,98623,696271,0,1169919,284437,885483,0,107031,778452,0,1288086,311144,976942,0,115848,861094,0,1456931,359155,1097775,0,124107,973668,0,1617546,412006,1205540,0,128779,1076762,0,1793619.7651999998,433270.50659,1360349.2585800001,0,136919.205463,1223430.06512,-0.012,2008255.277980356,460329.61920212005,1547925.6587782372,0,149363.84330692902,1398561.815471308,0,2210306.817463838,494973.5354286819,1715333.2820351562,0,163525.7127458157,1551807.5692893404,0,2371566.7566893008,512031.9335837208,1859534.8230555798,0,174718.10551644047,1684816.7175891392,0,2551156.492924311,557135.0416181951,1994021.4513061158,0,189879.10044591496,1804142.3507602008,0,Total,
